fieldName,fieldType,doc,default
COMITID,"""double""",,
BRANCH,"""double""",,
RTE_TYPE,"""string""",,
JRNSEQNO,"""double""",,
RECSTATS,"""string""",,
PROCESSID,"""long""",,
CHGJOBUSR,"""string""",,
SHIP_METH,"""string""",,
SYSTBLNAM,"""string""",,
SYSFTBLNAM,"""string""",,
CHGJOBNBR,"""double""",,
SYSFTBLSCM,"""string""",,
EVENTTYP,"""string""",,
DESCR,"""string""",,
DLV_ZONE,"""string""",,
RRNNUM,"""double""",,
CHGDATTIM,"""string""",,
SYSTBLSCM,"""string""",,
CHGJOBNM,"""string""",,
RTEID,"""double""",,
JRNDATTIM,"""string""",,
