fieldName,fieldType,doc,default
COSPR,"""double""",,
NLIVE,"""double""",,
OSUMT,"""string""",,
ISLPR,"""double""",,
PROCESSID,"""long""",,
BINLC,"""string""",,
CHGJOBUSR,"""string""",,
PICKL,"""double""",,
DISCD,"""string""",,
RETPR,"""double""",,
FEXVAL,"""double""",,
IEXCH,"""string""",,
LSQTY,"""double""",,
SYSTBLNAM,"""string""",,
SUQTY,"""double""",,
SYSFTBLSCM,"""string""",,
DESCR,"""string""",,
IUOM,"""double""",,
RRNNUM,"""double""",,
JRNDATTIM,"""string""",,
CBANKD,"""string""",,
SURCH,"""double""",,
IBOIN,"""string""",,
ILSQT,"""double""",,
COCOST,"""double""",,
PRODCD,"""string""",,
BATCH,"""string""",,
IDESPR,"""double""",,
BOLEVL,"""double""",,
CODE01,"""string""",,
CRDBR,"""string""",,
AGECD,"""string""",,
FDSVAL,"""double""",,
SYSFTBLNAM,"""string""",,
LBRNCH,"""double""",,
FSUVAL,"""double""",,
CPRCE,"""double""",,
FSDVAL,"""double""",,
ACCNO,"""string""",,
INVQTY,"""double""",,
BOPND,"""double""",,
SJOSEQ,"""double""",,
CHGDATTIM,"""string""",,
ICOST,"""double""",,
VRATE,"""double""",,
CHGJOBNM,"""string""",,
BOFLG,"""double""",,
TAXCD,"""string""",,
ALWBO,"""string""",,
REQTY,"""double""",,
JRNSEQNO,"""double""",,
RECSTATS,"""string""",,
IPRCE,"""double""",,
WSPFLG,"""string""",,
IBOQT,"""double""",,
IPSEL,"""string""",,
WSTYPE,"""string""",,
RPLCST,"""double""",,
DISPER,"""double""",,
FVAVAL,"""double""",,
SUPRT,"""string""",,
BOQTY,"""double""",,
LORDER,"""double""",,
OVRDS,"""double""",,
LLINE,"""double""",,
COMITID,"""double""",,
IEXTAX,"""string""",,
RSTAT,"""double""",,
ORIGORD,"""string""",,
LEXTAX,"""string""",,
CODE02,"""string""",,
CRDREF,"""string""",,
ITAXC,"""string""",,
OVOR,"""string""",,
CHGJOBNBR,"""double""",,
ICORE,"""double""",,
ILIST,"""double""",,
EVENTTYP,"""string""",,
RPART,"""string""",,
IDEPO,"""double""",,
WSOPLN,"""double""",,
LPO,"""string""",,
SYSTBLSCM,"""string""",,
QTALL,"""double""",,
IDESC,"""string""",,
