fieldName,fieldType,doc,default
COMITID,"""double""",,
JRNSEQNO,"""double""",,
RECSTATS,"""string""",,
PROCESSID,"""long""",,
CHGJOBUSR,"""string""",,
PACKING,"""string""",,
SHIP_METH,"""string""",,
SYSTBLNAM,"""string""",,
SYSFTBLNAM,"""string""",,
CHGJOBNBR,"""double""",,
SYSFTBLSCM,"""string""",,
EVENTTYP,"""string""",,
RATE_CLASS,"""string""",,
SERVICE,"""string""",,
RRNNUM,"""double""",,
CHGDATTIM,"""string""",,
SYSTBLSCM,"""string""",,
CARRIER,"""string""",,
CHGJOBNM,"""string""",,
RSDNTL,"""string""",,
JRNDATTIM,"""string""",,
