fieldName,fieldType,doc,default
OWHSE,"""double""",,
OBR,"""double""",,
LSTUSER,"""string""",,
SUBTYPE,"""string""",,
PROCESSID,"""long""",,
CHGJOBUSR,"""string""",,
SHORTAGES,"""string""",,
WPRI,"""double""",,
SYSTBLNAM,"""string""",,
STAGELOC,"""string""",,
PARENTORD,"""double""",,
SYSFTBLSCM,"""string""",,
RRNNUM,"""double""",,
LSTWRKSTN,"""string""",,
PRTTIME,"""double""",,
JRNDATTIM,"""string""",,
HOTSHOT,"""string""",,
ORDTYPE,"""string""",,
CUSTACCT,"""double""",,
DLVRCD,"""string""",,
SYSFTBLNAM,"""string""",,
ONO,"""double""",,
AUTOPICK,"""string""",,
CHGDATTIM,"""string""",,
WAVEID,"""double""",,
UID,"""double""",,
CHGJOBNM,"""string""",,
STAGE,"""string""",,
JRNSEQNO,"""double""",,
RECSTATS,"""string""",,
OCO,"""double""",,
RECWHSE,"""double""",,
HLDCODE,"""string""",,
PCKMETH,"""string""",,
SACODE,"""string""",,
PRTDATE,"""double""",,
PICKER,"""string""",,
OPRI,"""double""",,
COMITID,"""double""",,
INPROC,"""string""",,
INUSE,"""string""",,
RECPONO,"""double""",,
VERIFIED,"""string""",,
CHGJOBNBR,"""double""",,
EVENTTYP,"""string""",,
INVAUTH,"""string""",,
SYSTBLSCM,"""string""",,
STAGED,"""string""",,
STATUS,"""string""",,
