branch,dlvrcd,route_name,route_type
350,A12,350_C60_T31_A12 Transfer,T
350,A24,350_T55_A24 Transfer,T
350,A25,350_T55_T56_A25 Transfer,T
350,CPU,CPU Route,C
350,C00,350_T55_C00 Transfer,T
350,C01,350_T55_C01 Transfer,T
350,C02,350_T55_C02 Transfer,T
350,C04,350_C60_T31_C04 Transfer,T
350,C06,350_C60_T31_C06 Transfer,T
350,C07,350_T55_C07 Transfer,T
350,C08,350_T55_C08 Transfer,T
350,C09,350_C60_T31_C09 Transfer,T
350,C10,350_C60_T31_C10 Transfer,T
350,C11,350_C60_T31_C11 Transfer,T
350,C12,350_C60_T31_C11_C12 Transfer,T
350,C14,350_C60_T31_C17_C14 Transfer,T
350,C16,350_C60_T31_C17_C16 Transfer,T
350,C17,350_C60_T31_C17 Transfer,T
350,C19,350_T55_C07_C19 Transfer,T
350,C26,350_C60_T31_C26 Transfer,T
350,C30,350_C31_C30 Transfer,T
350,C31,350_C31 Transfer,T
350,C32,350_C32 Transfer,T
350,C33,350_C44_C33 Transfer,T
350,C34,350_C31_C34 Transfer,T
350,C35,350_C31_C34_C35 Transfer,T
350,C37,350_C32_C37 Transfer,T
350,C38,350_C32_C38 Transfer,T
350,C39,350_C32_C39 Transfer,T
350,C40,350_C44_C40 Transfer,T
350,C44,350_C44 Transfer,T
350,C45,350_C44_C45 Transfer,T
350,C46,350_C44_C46 Transfer,T
350,C47,350_C44_C47 Transfer,T
350,C48,350_C44_C48 Transfer,T
350,C49,350_C44_C49 Transfer,T
350,C51,350_C56_C51 Transfer,T
350,C52,350_C32_C52 Transfer,T
350,C54,350_C56_C54 Transfer,T
350,C56,350_C56 Transfer,T
350,C58,350_C56_C58 Transfer,T
350,C59,350_C31_C59 Transfer,T
350,C60,350_C60 Transfer,T
350,C61,350_C44_C61 Transfer,T
350,C62,350_C44_C62 Transfer,T
350,G02,350_T55_G02 Transfer,T
350,HOT,HOT-On Demand,H
350,PHO,PHO Route,C
350,S01,HOT-On Demand,H
350,T01,350_C60_T31_T01 Transfer,T
350,T02,350_C60_T31_T02 Transfer,T
350,T03,350_C60_T31_T01_T03 Transfer,T
350,T04,350_C60_T31_T08_T04 Transfer,T
350,T05,350_C60_T31_T08_T05 Transfer,T
350,T06,350_C60_T31_T08_T06 Transfer,T
350,T07,350_C60_T31_T08_T07 Transfer,T
350,T08,350_C60_T31_T08 Transfer,T
350,T09,350_C60_T31_T08_T09 Transfer,T
350,T10,350_C60_T31_T08_T10 Transfer,T
350,T11,350_C60_T31_T11 Transfer,T
350,T12,350_C60_T31_T12 Transfer,T
350,T15,350_C60_T31_T01_T15 Transfer,T
350,T17,350_C60_T31_T12_T17 Transfer,T
350,T30,350_C60_T31_T30 Transfer,T
350,T31,350_C60_T31 Transfer,T
350,T33,350_C60_T31_T33 Transfer,T
350,T36,350_C60_T31_T36 Transfer,T
350,T37,350_C60_T31_T73_T37 Transfer,T
350,T38,350_C60_T31_T73_T38 Transfer,T
350,T54,350_T55_T56_T54 Transfer,T
350,T55,350_T55 Transfer,T
350,T56,350_T55_T56 Transfer,T
350,T58,350_T55_T56_T58 Transfer,T
350,T59,350_T55_C07_T59 Transfer,T
350,T61,350_T55_T56_T61 Transfer,T
350,T71,350_C60_T31_T08_T71 Transfer,T
350,T72,350_C60_T31_T08_T72 Transfer,T
350,T73,350_C60_T31_T73 Transfer,T
350,T79,350_T55_A24_T79 Transfer,T
