Order Type,Rule,PickSlaBreach,StageSlaBreach,StageCompletedSlaBreach,ShipSlaBreach,pick_sla_minutes,stage_sla_minutes,stage_complete_sla_minutes,ship_sla_minutes,CRT/Q20,RLS,PCK,OSC,SPK,SVC/SHV
RockAuto,Before1,Yes,Yes,Yes,Yes,20,40,40,30,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:30:00,2025-01-01 10:35:00,2025-01-01 11:20:00,2025-01-01 11:55:00
RockAuto,After1,Yes,Yes,Yes,Yes,40,50,40,30,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:50:00,2025-01-01 10:55:00,2025-01-01 11:50:00,2025-01-01 12:25:00
RockAuto,Before1,No,Yes,Yes,Yes,20,40,40,30,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:20:00,2025-01-01 10:25:00,2025-01-01 11:10:00,2025-01-01 11:45:00
RockAuto,Before1,No,No,Yes,Yes,20,40,40,30,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:20:00,2025-01-01 10:25:00,2025-01-01 11:00:00,2025-01-01 11:35:00
RockAuto,Before1,No,No,No,Yes,20,40,40,30,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:20:00,2025-01-01 10:25:00,2025-01-01 11:00:00,2025-01-01 11:35:00
RockAuto,Before1,No,No,No,No,20,40,40,30,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:20:00,2025-01-01 10:25:00,2025-01-01 11:00:00,2025-01-01 11:25:00
Ecommerce,,Yes,Yes,Yes,Yes,120,60,50,60,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 12:10:00,2025-01-01 12:15:00,2025-01-01 13:20:00,2025-01-01 14:25:00
Ecommerce,,No,Yes,Yes,Yes,120,60,50,60,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 12:00:00,2025-01-01 12:05:00,2025-01-01 13:10:00,2025-01-01 14:15:00
Ecommerce,,No,No,Yes,Yes,120,60,50,60,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 12:00:00,2025-01-01 12:05:00,2025-01-01 13:00:00,2025-01-01 14:05:00
Ecommerce,,No,No,No,Yes,120,60,50,60,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 12:00:00,2025-01-01 12:05:00,2025-01-01 13:00:00,2025-01-01 14:05:00
Ecommerce,,No,No,No,No,120,60,50,60,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 12:00:00,2025-01-01 12:05:00,2025-01-01 13:00:00,2025-01-01 13:55:00
Hotspot,,Yes,Yes,Yes,Yes,20,20,20,10,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:30:00,2025-01-01 10:35:00,2025-01-01 11:00:00,2025-01-01 11:15:00
Hotspot,,No,Yes,Yes,Yes,20,20,20,10,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:20:00,2025-01-01 10:25:00,2025-01-01 10:50:00,2025-01-01 11:05:00
Hotspot,,No,No,Yes,Yes,20,20,20,10,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:20:00,2025-01-01 10:25:00,2025-01-01 10:40:00,2025-01-01 10:55:00
Hotspot,,No,No,No,Yes,20,20,20,10,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:20:00,2025-01-01 10:25:00,2025-01-01 10:40:00,2025-01-01 10:55:00
Hotspot,,No,No,No,No,20,20,20,10,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:20:00,2025-01-01 10:25:00,2025-01-01 10:40:00,2025-01-01 10:45:00
StoreFullfillment,,Yes,Yes,Yes,Yes,15,15,15,15,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:25:00,2025-01-01 10:30:00,2025-01-01 10:50:00,2025-01-01 11:10:00
StoreFullfillment,,No,Yes,Yes,Yes,15,15,15,15,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:15:00,2025-01-01 10:20:00,2025-01-01 10:40:00,2025-01-01 11:00:00
StoreFullfillment,,No,No,Yes,Yes,15,15,15,15,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:15:00,2025-01-01 10:20:00,2025-01-01 10:30:00,2025-01-01 10:50:00
StoreFullfillment,,No,No,No,Yes,15,15,15,15,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:15:00,2025-01-01 10:20:00,2025-01-01 10:30:00,2025-01-01 10:50:00
StoreFullfillment,,No,No,No,No,15,15,15,15,2025-01-01 10:00:00,2025-01-01 10:05:00,2025-01-01 10:15:00,2025-01-01 10:20:00,2025-01-01 10:30:00,2025-01-01 10:40:00
